accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
1	3	2.025	11.0	3.0	1.4	Shapes
1	4	2.024	14.017	4.0	1.022	Shapes
1	3	2.024	17.034	3.0	1.159	Shapes
1	4	2.025	20.05	4.0	1.279	Shapes
1	4	2.021	23.054	4.0	1.068	Shapes
1	3	2.024	26.067	3.0	1.091	Shapes
0	3	2.023	32.085	n/a	0.0	Faces
0	3	2.023	35.102	n/a	0.0	Faces
1	4	2.024	38.134	4.0	1.895	Faces
1	4	2.022	41.153	4.0	1.69	Faces
1	4	2.024	44.184	4.0	1.562	Faces
1	4	2.023	47.202	4.0	1.016	Shapes
1	4	2.025	53.217	4.0	1.471	Shapes
1	4	2.024	56.234	4.0	0.793	Shapes
0	3	2.024	59.251	n/a	0.0	Shapes
1	3	2.025	62.267	3.0	1.168	Shapes
1	3	2.024	65.284	3.0	1.167	Shapes
1	4	2.025	68.3	4.0	1.557	Shapes
1	4	2.025	74.317	4.0	1.034	Faces
1	3	2.024	77.351	3.0	1.2	Faces
1	3	2.024	80.384	3.0	1.093	Faces
1	3	2.025	83.417	3.0	1.28	Faces
1	4	2.023	86.435	4.0	1.1	Faces
1	3	2.022	89.453	3.0	0.853	Shapes
1	4	2.025	95.467	4.0	0.883	Shapes
1	3	2.021	98.471	3.0	0.938	Shapes
1	4	2.024	101.484	4.0	0.867	Shapes
1	4	2.024	104.501	4.0	0.905	Shapes
1	3	2.025	107.517	3.0	0.806	Shapes
1	3	2.021	110.521	3.0	0.918	Shapes
1	4	2.025	116.534	4.0	1.459	Faces
1	3	2.024	119.551	3.0	1.119	Faces
1	4	2.025	122.567	4.0	1.254	Faces
1	4	2.025	125.584	4.0	1.048	Faces
1	4	2.024	128.601	4.0	0.802	Faces
1	3	2.024	131.618	3.0	1.038	Shapes
0	3	2.025	145.634	n/a	0.0	Shapes
1	4	2.024	148.651	4.0	1.048	Shapes
1	4	2.024	151.668	4.0	1.112	Shapes
1	3	2.025	154.684	3.0	0.927	Shapes
1	4	2.024	157.701	4.0	0.783	Shapes
1	3	2.024	160.718	3.0	0.673	Shapes
1	3	2.025	166.734	3.0	1.467	Faces
1	4	2.025	169.751	4.0	0.995	Faces
1	4	2.024	172.768	4.0	0.881	Faces
1	3	2.025	175.784	3.0	0.903	Faces
1	4	2.025	178.801	4.0	1.141	Faces
1	3	2.024	181.818	3.0	1.262	Shapes
1	3	2.025	187.834	3.0	0.968	Shapes
1	3	2.021	190.838	3.0	0.789	Shapes
1	4	2.025	193.851	4.0	0.906	Shapes
1	4	2.024	196.868	4.0	1.114	Shapes
1	3	2.024	199.885	3.0	0.8	Shapes
1	4	2.025	202.901	4.0	1.187	Shapes
1	3	2.024	208.918	3.0	0.965	Faces
1	4	2.024	211.935	4.0	0.845	Faces
1	4	2.025	214.951	4.0	1.095	Faces
1	3	2.025	217.968	3.0	1.299	Faces
1	4	2.024	220.985	4.0	1.092	Faces
1	4	2.025	224.001	4.0	0.836	Shapes
1	3	2.021	230.005	3.0	0.964	Shapes
1	3	2.025	233.018	3.0	0.791	Shapes
1	4	2.024	236.035	4.0	1.023	Shapes
1	4	2.025	239.051	4.0	0.905	Shapes
1	3	2.022	242.054	3.0	0.809	Shapes
1	4	2.025	245.068	4.0	0.945	Shapes
1	3	2.024	251.085	3.0	1.08	Faces
1	4	2.024	254.102	4.0	0.915	Faces
1	3	2.025	257.118	3.0	1.025	Faces
0	3	2.024	260.135	4.0	0.801	Faces
1	3	2.024	263.152	3.0	1.066	Faces
1	4	2.025	266.168	4.0	1.121	Faces
