accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
1	1	2.02	11.0	1.0	0.831	Shapes
1	2	2.02	14.013	2.0	1.098	Shapes
1	1	2.02	17.026	1.0	0.558	Shapes
1	2	2.017	20.029	2.0	0.641	Shapes
1	2	2.02	23.04	2.0	0.594	Shapes
1	1	2.02	26.053	1.0	0.559	Shapes
1	1	2.02	32.08	1.0	0.568	Faces
1	1	2.019	35.094	1.0	0.682	Faces
1	2	2.019	38.12	2.0	1.568	Faces
1	2	2.02	41.146	2.0	0.826	Faces
1	2	2.02	44.173	2.0	0.684	Faces
1	2	2.017	47.189	2.0	0.516	Shapes
1	2	2.019	53.2	2.0	0.611	Shapes
1	2	2.02	56.213	2.0	0.487	Shapes
1	1	2.02	59.226	1.0	1.147	Shapes
1	1	2.019	62.24	1.0	0.68	Shapes
1	1	2.02	65.253	1.0	0.558	Shapes
1	2	2.02	68.266	2.0	0.553	Shapes
1	2	2.017	74.282	2.0	0.533	Faces
1	1	2.02	77.306	1.0	0.736	Faces
1	1	2.017	80.322	1.0	0.616	Faces
1	1	2.02	83.346	1.0	0.8	Faces
1	2	2.019	86.36	2.0	0.599	Faces
1	1	2.019	89.374	1.0	0.528	Shapes
1	2	2.02	95.386	2.0	0.643	Shapes
1	1	2.019	98.4	1.0	0.534	Shapes
1	2	2.02	101.413	2.0	0.811	Shapes
1	2	2.02	104.426	2.0	0.576	Shapes
1	1	2.019	107.44	1.0	0.486	Shapes
1	1	2.02	110.453	1.0	0.485	Shapes
1	2	2.02	116.466	2.0	0.691	Faces
1	1	2.02	119.479	1.0	0.593	Faces
1	2	2.019	122.493	2.0	0.598	Faces
1	2	2.02	125.506	2.0	0.521	Faces
1	2	2.02	128.519	2.0	0.532	Faces
1	1	2.019	131.533	1.0	0.525	Shapes
1	1	2.02	145.546	1.0	0.578	Shapes
1	2	2.02	148.559	2.0	0.564	Shapes
1	2	2.019	151.573	2.0	0.573	Shapes
1	1	2.02	154.586	1.0	0.641	Shapes
1	2	2.02	157.599	2.0	0.596	Shapes
1	1	2.019	160.613	1.0	0.571	Shapes
1	1	2.02	166.626	1.0	0.691	Faces
1	2	2.02	169.639	2.0	0.464	Faces
1	2	2.019	172.653	2.0	0.476	Faces
1	1	2.02	175.666	1.0	0.498	Faces
1	2	2.02	178.679	2.0	0.612	Faces
1	1	2.019	181.693	1.0	0.544	Shapes
1	1	2.02	187.706	1.0	0.643	Shapes
1	1	2.02	190.719	1.0	0.611	Shapes
1	2	2.02	193.732	2.0	0.574	Shapes
1	2	2.019	196.746	2.0	0.914	Shapes
1	1	2.02	199.759	1.0	0.456	Shapes
1	2	2.02	202.772	2.0	0.531	Shapes
1	1	2.019	208.786	1.0	0.576	Faces
1	2	2.02	211.799	2.0	0.546	Faces
1	2	2.02	214.812	2.0	0.59	Faces
1	1	2.019	217.826	1.0	0.569	Faces
1	2	2.02	220.839	2.0	0.628	Faces
1	2	2.02	223.852	2.0	0.531	Shapes
1	1	2.019	229.866	1.0	0.595	Shapes
1	1	2.02	232.879	1.0	0.657	Shapes
1	2	2.02	235.892	2.0	0.67	Shapes
1	2	2.019	238.906	2.0	0.502	Shapes
1	1	2.02	241.919	1.0	0.631	Shapes
1	2	2.02	244.932	2.0	0.695	Shapes
1	1	2.02	250.945	1.0	0.667	Faces
1	2	2.02	253.959	2.0	0.597	Faces
1	1	2.02	256.972	1.0	0.56	Faces
1	1	2.02	259.985	1.0	0.624	Faces
1	1	2.019	262.999	1.0	0.677	Faces
1	2	2.02	266.012	2.0	0.825	Faces
