accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
0	2	2.133	11.033	n/a	0.0	Shapes
0	3	2.117	14.066	n/a	0.0	Shapes
1	2	2.117	17.099	2.0	1.903	Shapes
1	3	2.117	20.116	3.0	1.443	Shapes
1	3	2.117	23.149	3.0	1.249	Shapes
1	2	2.116	26.166	2.0	1.463	Shapes
1	2	2.117	32.265	2.0	1.703	Faces
1	2	2.117	35.332	2.0	1.857	Faces
0	3	2.116	38.382	n/a	0.0	Faces
1	3	2.116	41.432	3.0	1.791	Faces
1	3	2.117	44.498	3.0	1.164	Faces
1	3	2.117	47.531	3.0	0.998	Shapes
1	3	2.116	53.548	3.0	0.928	Shapes
1	3	2.117	56.581	3.0	0.946	Shapes
1	2	2.116	59.598	2.0	1.288	Shapes
1	2	2.116	62.631	2.0	1.386	Shapes
1	2	2.117	65.664	2.0	1.202	Shapes
1	3	2.116	68.681	3.0	1.173	Shapes
1	3	2.117	74.73	3.0	1.265	Faces
1	2	2.117	77.813	2.0	1.664	Faces
1	2	2.116	80.847	2.0	1.531	Faces
1	2	2.116	83.897	2.0	1.601	Faces
1	3	2.116	86.93	3.0	1.448	Faces
1	2	2.117	89.963	2.0	1.09	Shapes
1	3	2.116	95.98	3.0	0.845	Shapes
1	2	2.116	99.013	2.0	0.93	Shapes
1	3	2.116	102.046	3.0	1.459	Shapes
1	3	2.117	105.079	3.0	1.108	Shapes
1	2	2.117	108.112	2.0	1.57	Shapes
1	2	2.116	111.129	2.0	1.173	Shapes
0	3	2.116	117.162	n/a	0.0	Faces
1	2	2.117	120.195	2.0	1.242	Faces
1	3	2.117	123.228	3.0	1.276	Faces
1	3	2.117	126.261	3.0	1.03	Faces
1	3	2.116	129.295	3.0	0.941	Faces
1	2	2.116	132.328	2.0	1.009	Shapes
1	2	2.116	146.361	2.0	1.041	Shapes
1	3	2.116	149.394	3.0	0.916	Shapes
1	3	2.117	152.427	3.0	0.955	Shapes
1	2	2.117	155.46	2.0	0.981	Shapes
1	3	2.117	158.493	3.0	1.15	Shapes
1	2	2.116	161.51	2.0	1.062	Shapes
1	2	2.117	167.543	2.0	1.369	Faces
1	3	2.117	170.576	3.0	1.004	Faces
1	3	2.117	173.609	3.0	1.284	Faces
1	2	2.116	176.643	2.0	0.918	Faces
1	3	2.116	179.676	3.0	0.98	Faces
1	2	2.117	182.709	2.0	1.433	Shapes
1	2	2.116	188.726	2.0	1.631	Shapes
1	2	2.116	191.759	2.0	1.333	Shapes
1	3	2.116	194.792	3.0	1.082	Shapes
1	3	2.117	197.825	3.0	1.621	Shapes
1	2	2.116	200.842	2.0	1.096	Shapes
1	3	2.116	203.875	3.0	0.873	Shapes
1	2	2.116	209.908	2.0	1.105	Faces
1	3	2.117	212.941	3.0	0.828	Faces
1	3	2.117	215.974	3.0	1.438	Faces
1	2	2.117	219.007	2.0	1.084	Faces
1	3	2.116	222.041	3.0	1.029	Faces
1	3	2.116	225.074	3.0	0.932	Shapes
1	2	2.116	231.091	2.0	1.283	Shapes
1	2	2.117	234.123	2.0	1.184	Shapes
1	3	2.117	237.14	3.0	0.824	Shapes
1	3	2.117	240.173	3.0	1.588	Shapes
1	2	2.116	243.19	2.0	0.873	Shapes
1	3	2.117	246.223	3.0	0.985	Shapes
1	2	2.117	252.256	2.0	1.085	Faces
1	3	2.117	255.289	3.0	0.892	Faces
1	2	2.117	258.322	2.0	0.927	Faces
1	2	2.116	261.356	2.0	0.847	Faces
1	2	2.116	264.389	2.0	1.061	Faces
1	3	2.117	267.422	3.0	0.879	Faces
