accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
1	1	2.06	10.989	1.0	1.095	Shapes
1	2	2.059	13.996	2.0	1.353	Shapes
1	1	2.059	17.011	1.0	0.888	Shapes
1	2	2.06	20.017	2.0	0.627	Shapes
1	2	2.06	23.024	2.0	0.648	Shapes
1	1	2.06	26.031	1.0	1.133	Shapes
1	1	2.06	32.044	1.0	0.929	Faces
1	1	2.06	35.059	1.0	0.724	Faces
0	2	2.06	38.074	n/a	0.0	Faces
1	2	2.06	41.089	2.0	0.977	Faces
1	2	2.06	44.104	2.0	0.907	Faces
1	2	2.06	47.119	2.0	1.175	Shapes
1	2	2.06	53.124	2.0	0.717	Shapes
1	2	2.06	56.131	2.0	0.582	Shapes
1	1	2.06	59.138	1.0	0.829	Shapes
1	1	2.06	62.145	1.0	0.893	Shapes
1	1	2.06	65.151	1.0	0.64	Shapes
1	2	2.06	68.158	2.0	1.211	Shapes
1	2	2.06	74.18	2.0	0.735	Faces
1	1	2.06	77.203	1.0	1.362	Faces
1	1	2.06	80.218	1.0	0.967	Faces
1	1	2.06	83.233	1.0	1.176	Faces
1	2	2.06	86.248	2.0	1.29	Faces
1	1	2.06	89.263	1.0	1.145	Shapes
1	2	2.06	95.268	2.0	0.974	Shapes
1	1	2.06	98.275	1.0	0.558	Shapes
0	2	2.06	101.282	1.0	0.739	Shapes
1	2	2.059	104.289	2.0	0.977	Shapes
1	1	2.06	107.295	1.0	0.671	Shapes
1	1	2.06	110.302	1.0	0.681	Shapes
1	2	2.06	116.315	2.0	1.753	Faces
1	1	2.06	119.322	1.0	0.827	Faces
1	2	2.06	122.329	2.0	0.747	Faces
1	2	2.06	125.336	2.0	1.019	Faces
1	2	2.06	128.342	2.0	0.959	Faces
1	1	2.06	131.349	1.0	0.737	Shapes
1	1	2.06	145.353	1.0	0.68	Shapes
1	2	2.06	148.359	2.0	0.852	Shapes
1	2	2.06	151.366	2.0	0.778	Shapes
1	1	2.06	154.373	1.0	0.664	Shapes
1	2	2.06	157.38	2.0	0.765	Shapes
1	1	2.06	160.386	1.0	0.808	Shapes
1	1	2.059	166.392	1.0	0.776	Faces
1	2	2.06	169.398	2.0	0.75	Faces
1	2	2.06	172.405	2.0	0.76	Faces
1	1	2.06	175.412	1.0	0.839	Faces
1	2	2.06	178.418	2.0	1.145	Faces
1	1	2.06	181.425	1.0	1.749	Shapes
1	1	2.06	187.43	1.0	0.756	Shapes
1	1	2.06	190.437	1.0	0.781	Shapes
1	2	2.06	193.444	2.0	0.698	Shapes
1	2	2.06	196.45	2.0	0.845	Shapes
1	1	2.06	199.457	1.0	0.676	Shapes
1	2	2.06	202.464	2.0	0.638	Shapes
1	1	2.06	208.477	1.0	0.739	Faces
1	2	2.06	211.484	2.0	0.68	Faces
1	2	2.06	214.491	2.0	0.887	Faces
1	1	2.059	217.498	1.0	0.889	Faces
1	2	2.06	220.504	2.0	0.72	Faces
1	2	2.06	223.511	2.0	0.648	Shapes
1	1	2.06	229.516	1.0	0.769	Shapes
1	1	2.06	232.523	1.0	0.664	Shapes
1	2	2.059	235.53	2.0	0.572	Shapes
1	2	2.06	238.536	2.0	0.615	Shapes
1	1	2.06	241.543	1.0	0.595	Shapes
1	2	2.06	244.55	2.0	0.576	Shapes
1	1	2.06	250.563	1.0	0.84	Faces
1	2	2.06	253.57	2.0	0.663	Faces
1	1	2.06	256.577	1.0	0.937	Faces
1	1	2.06	259.583	1.0	0.762	Faces
1	1	2.06	262.59	1.0	0.959	Faces
1	2	2.06	265.597	2.0	1.281	Faces
