accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
1	1	2.026	11.012	1.0	1.378	Shapes
1	2	2.024	14.018	2.0	1.389	Shapes
1	1	2.027	17.035	1.0	0.934	Shapes
1	2	2.024	20.041	2.0	0.701	Shapes
1	2	2.027	23.058	2.0	0.706	Shapes
1	1	2.024	26.064	1.0	0.818	Shapes
1	1	2.027	32.085	1.0	0.952	Faces
1	1	2.027	35.105	1.0	0.842	Faces
0	2	2.026	38.142	n/a	0.0	Faces
1	2	2.026	41.162	2.0	1.316	Faces
1	2	2.026	44.182	2.0	1.029	Faces
1	2	2.026	47.202	2.0	0.863	Shapes
1	2	2.027	53.208	2.0	0.804	Shapes
1	2	2.024	56.214	2.0	0.56	Shapes
0	1	2.026	59.232	2.0	0.59	Shapes
1	1	2.024	62.238	1.0	0.626	Shapes
1	1	2.026	65.255	1.0	0.7	Shapes
1	2	2.024	68.261	2.0	0.766	Shapes
1	2	2.026	74.282	2.0	0.763	Faces
1	1	2.027	77.318	1.0	0.808	Faces
1	1	2.027	80.338	1.0	1.189	Faces
1	1	2.027	83.358	1.0	0.891	Faces
1	2	2.027	86.395	2.0	0.872	Faces
1	1	2.027	89.415	1.0	0.871	Shapes
1	2	2.026	95.422	2.0	0.671	Shapes
1	1	2.024	98.428	1.0	0.874	Shapes
1	2	2.027	101.445	2.0	0.661	Shapes
1	2	2.024	104.451	2.0	0.619	Shapes
0	1	2.027	107.468	2.0	0.822	Shapes
1	1	2.024	110.474	1.0	0.693	Shapes
0	2	2.026	116.495	1.0	0.901	Faces
1	1	2.026	119.515	1.0	1.01	Faces
1	2	2.026	122.535	2.0	1.025	Faces
1	2	2.026	125.555	2.0	0.787	Faces
1	2	2.026	128.575	2.0	0.832	Faces
1	1	2.026	131.595	1.0	0.768	Shapes
1	1	2.027	145.61	1.0	0.71	Shapes
1	2	2.024	148.616	2.0	0.649	Shapes
1	2	2.026	151.634	2.0	0.835	Shapes
1	1	2.024	154.64	1.0	0.608	Shapes
1	2	2.027	157.657	2.0	0.763	Shapes
1	1	2.024	160.663	1.0	0.797	Shapes
1	1	2.026	166.684	1.0	0.917	Faces
1	2	2.026	169.704	2.0	0.962	Faces
1	2	2.026	172.724	2.0	0.786	Faces
1	1	2.026	175.744	1.0	1.009	Faces
1	2	2.026	178.764	2.0	1.386	Faces
1	1	2.026	181.784	1.0	0.778	Shapes
1	1	2.027	187.79	1.0	0.608	Shapes
1	1	2.023	190.797	1.0	1.267	Shapes
1	2	2.026	193.814	2.0	0.7	Shapes
1	2	2.023	196.82	2.0	1.346	Shapes
1	1	2.027	199.837	1.0	0.761	Shapes
1	2	2.024	202.843	2.0	0.691	Shapes
1	1	2.026	208.864	1.0	0.731	Faces
1	2	2.026	211.901	2.0	1.107	Faces
1	2	2.027	214.92	2.0	1.436	Faces
1	1	2.027	217.94	1.0	0.861	Faces
1	2	2.027	220.96	2.0	0.998	Faces
1	2	2.027	223.98	2.0	0.781	Shapes
1	1	2.027	229.987	1.0	0.686	Shapes
1	1	2.024	232.993	1.0	0.658	Shapes
1	2	2.027	236.01	2.0	0.737	Shapes
1	2	2.024	239.016	2.0	0.689	Shapes
1	1	2.026	242.034	1.0	0.74	Shapes
1	2	2.026	245.054	2.0	0.671	Shapes
1	1	2.024	251.063	1.0	0.826	Faces
1	2	2.027	254.08	2.0	0.885	Faces
1	1	2.027	257.1	1.0	0.762	Faces
1	1	2.027	260.12	1.0	0.758	Faces
1	1	2.027	263.14	1.0	1.062	Faces
1	2	2.027	266.16	2.0	1.203	Faces
